"uid","namedLocation","date","eventID","domainID","siteID","plotID","individualID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks","recordedBy","measuredBy","dataQF"
"cef82ea0-1aa3-433a-8e42-a238cde5982c","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05783","ok","single bole tree","Live",10.1,130,11.3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"4cd575bd-0ea3-4de6-b4bf-0ef105c2cf4f","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04006","ok","single bole tree","Live",12.3,130,10.5,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"6dc0b23a-dd42-455b-8488-fdc06cb5dbab","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04025","ok","small shrub","Live",NA,NA,1.9,NA,NA,NA,1,0.9,NA,"inverted cone",1.8,12,0.2,0.1,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"dbcc5ecc-757c-44ce-90e7-043e1b5bfa97","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05503","ok","single bole tree","Live",16,130,13.8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"c5fb7945-b59d-46c6-8a6d-dab1018a76bb","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05514","ok","single bole tree","Live",18.2,130,11,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"7dc00de4-4d04-42e8-abf7-a6c1fe7feb91","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05798","ok","multi-bole tree","Live",14.4,130,12.9,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"a10bf5b3-5ef2-40b3-bae7-95b06d9e74e5","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05790","ok","single bole tree","Live, disease damaged",15.5,130,11.4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Missing needles and atypical bark cracking","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"5a292668-2f20-46af-a8dc-fd16989248b8","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05502","ok","single bole tree","Live",16.8,130,13.4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"c7c412c2-7656-4c20-9b4e-4777ce25203b","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05517","ok","sapling","Live",NA,NA,1.7,NA,NA,NA,NA,NA,NA,"",1.8,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"b685f250-1041-4a92-ae66-7ab8c31fb15f","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05538","ok","small tree","Live",7.9,130,8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"fc914ad6-71ab-4993-a88a-8a4e3e96c760","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05536","ok","small tree","Live",1,130,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"8635b75a-56fb-4200-9bfd-a900a2d132bc","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05529","ok","single bole tree","Live",11.1,130,10.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"319ed6ab-80bc-40c4-a89e-a06a84cb2e30","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05519","ok","small tree","Live",3,130,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"6a94adcb-299b-42c1-a3df-e267e3b6e5a1","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04019","ok","small shrub","Live",NA,NA,2.1,NA,NA,NA,2,1.5,NA,"half-sphere",1.4,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"2cf8911e-3b5a-4f44-8263-ec45d2461fd5","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04025","ok","small shrub","Live",NA,NA,1.9,NA,NA,NA,1,0.9,NA,"inverted cone",2,10,0.2,0.1,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"8e76ed6f-3a03-4c92-908b-9c4792c8352d","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05785","ok","single bole tree","Live, disease damaged",11.8,130,9.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Inner needles turning brown and falling off","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
