"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","cfcOnlyTag","individualID","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks","measuredBy","recordedBy","dataQF"
"b0fa0108-4339-4738-8600-22b25c391dc2","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41",NA,"61",18.7,247.7,"N","NEON.PLA.D16.WREF.02111",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"d1316a0d-ab89-4f6a-8195-6a19a88247b6","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.02104",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"60d88998-46fb-4282-bb99-848a97207221","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","1","41",4.1,66.6,"N","NEON.PLA.D16.WREF.04607",NA,NA,"NEON.DOC.000987vG","TABR2","Taxus brevifolia Nutt.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"9da02187-97f8-42f3-ba1e-e9c03aeda42c","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41",NA,"61",17.9,210.7,"N","NEON.PLA.D16.WREF.02129",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"e6d4550c-7f60-438a-9292-f42006c68985","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","39",NA,"57",11.3,159.8,"N","NEON.PLA.D16.WREF.03219",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"acbf2044-a02d-4f0d-8a5a-2d07724fa262","WREF_070.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_070","39","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04069",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"b41d6fdb-caf4-461e-8a03-c4435a0d14b9","WREF_070.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_070","39","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04213",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","XF7+6w3ZdG4dkrdZbAxOAZtdZV1tlY7Km4jqFmsFyAs=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA
"c012aa7e-9168-4093-b39f-562d4bfccfc2","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","39","3",NA,NA,NA,"N","NEON.PLA.D16.WREF.03255",NA,NA,"NEON.DOC.000987vG","ABGR","Abies grandis (Douglas ex D. Don) Lindl.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"e91375bf-cca8-40c9-a206-f85621232c52","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","23",NA,"25",19.1,330.7,"N","NEON.PLA.D16.WREF.03666",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
"d686382c-7c66-4441-b8de-fbc499d1762a","WREF_074.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_074","39","3",NA,NA,NA,"N","NEON.PLA.D16.WREF.03244",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA
